distcode,year,pop,density,name,xcoord,ycoord,bl_ags,bl_name
5116,2017,222107,1538.03015193289,Mönchengladbach,319.394995113674,5671.47842061368,5,Nordrhein-Westfalen
5117,2017,145439,1876.25985977213,Mülheim an der Ruhr,352.63334573649,5697.75090509222,5,Nordrhein-Westfalen
5119,2017,180614,2742.53469970165,Oberhausen,350.704543483982,5709.20034416342,5,Nordrhein-Westfalen
5120,2017,91270,1483.95061728395,Remscheid,376.193832921267,5671.79862373005,5,Nordrhein-Westfalen
5122,2017,133046,1773.54255081528,Solingen,364.192750374239,5670.1818426626,5,Nordrhein-Westfalen
5124,2017,287102,2099.82778074708,Wuppertal,372.02216247842,5678.28248886822,5,Nordrhein-Westfalen
5154,2017,266572,252.451358080763,Kleve,306.219395542244,5723.62693916533,5,Nordrhein-Westfalen
5158,2017,427758,1192.00677766318,Mettmann,357.292774619942,5676.50053880011,5,Nordrhein-Westfalen
5162,2017,397976,779.653724714618,Rhein-Kreis Neuss,336.491448757952,5671.85775008819,5,Nordrhein-Westfalen
5166,2017,269653,530.345476494816,Viersen,312.759903925556,5685.96471415283,5,Nordrhein-Westfalen
5170,2017,419173,441.758726505562,Wesel,334.053802311031,5719.72310051266,5,Nordrhein-Westfalen
5314,2017,272898,2307.45781936764,Bonn,365.80497926266,5618.56276903935,5,Nordrhein-Westfalen
5315,2017,872427,2667.57364015703,Köln,356.247223081455,5647.06457747412,5,Nordrhein-Westfalen
5316,2017,138359,2074.00786103715,Leverkusen,360.934625028859,5657.77712332528,5,Nordrhein-Westfalen
5334,2017,476622,783.788601094906,Städteregion Aachen,303.83705155981,5622.65102388702,5,Nordrhein-Westfalen
5358,2017,235822,279.226545157145,Düren,322.533675461351,5633.0869959835,5,Nordrhein-Westfalen
5362,2017,410473,662.980516808333,Rhein-Erft-Kreis,340.641657121035,5640.18886081521,5,Nordrhein-Westfalen
5366,2017,177715,153.857919646361,Euskirchen,333.114057179359,5603.10942970367,5,Nordrhein-Westfalen
5370,2017,224422,403.092799923556,Heinsberg,304.723891295779,5658.45948818031,5,Nordrhein-Westfalen
5374,2017,247602,297.075692441639,Oberbergischer Kreis,396.423135916655,5654.73980653491,5,Nordrhein-Westfalen
5378,2017,257258,647.909997256014,Rheinisch-Bergischer Kreis,371.889016343873,5652.95538420576,5,Nordrhein-Westfalen
5382,2017,539397,519.468266837783,Rhein-Sieg-Kreis,385.903532769999,5623.9215331751,5,Nordrhein-Westfalen
5512,2017,104821,1166.52420236557,Bottrop,353.677503340389,5715.33043272491,5,Nordrhein-Westfalen
5513,2017,210513,2480.5126739089,Gelsenkirchen,366.927264477422,5713.78747641704,5,Nordrhein-Westfalen
5515,2017,281226,1033.89277235558,Münster,404.674720851284,5756.42261956208,5,Nordrhein-Westfalen
5554,2017,336750,260.185224281834,Borken,358.8476765311,5761.45497213028,5,Nordrhein-Westfalen
5558,2017,205945,197.257317566656,Coesfeld,384.287035384375,5747.11711565269,5,Nordrhein-Westfalen
5562,2017,550791,810.213973282894,Recklinghausen,371.67033556697,5725.87937854337,5,Nordrhein-Westfalen
5566,2017,407157,248.677440192453,Steinfurt,398.41842197049,5788.18238245125,5,Nordrhein-Westfalen
5570,2017,250396,210.289447556105,Warendorf,427.170999733264,5748.30135562555,5,Nordrhein-Westfalen
5711,2017,285682,1284.87752105711,Bielefeld,469.75324656468,5762.80186120802,5,Nordrhein-Westfalen
5754,2017,317959,374.582391844905,Gütersloh,454.184895109802,5753.08587949971,5,Nordrhein-Westfalen
5758,2017,228925,558.466730312382,Herford,474.711863560826,5779.25431186467,5,Nordrhein-Westfalen
5762,2017,133890,117.831399510579,Höxter,512.752742457067,5725.12476957234,5,Nordrhein-Westfalen
5766,2017,320256,280.102229140922,Lippe,494.275998846253,5760.10401299399,5,Nordrhein-Westfalen
5770,2017,287469,270.048854140453,Minden-Lübbecke,483.289190676279,5799.6557474979,5,Nordrhein-Westfalen
5774,2017,278234,244.916586461341,Paderborn,484.25879785319,5723.48949682765,5,Nordrhein-Westfalen
5911,2017,320747,2509.46725250584,Bochum,377.166751485902,5703.68205266915,5,Nordrhein-Westfalen
5913,2017,487118,2089.70111502975,Dortmund,392.920219672013,5707.39492497292,5,Nordrhein-Westfalen
5914,2017,155082,1170.02181364911,Hagen,394.980771758263,5688.83854240149,5,Nordrhein-Westfalen
5915,2017,153071,791.348319568962,Hamm,418.010886470328,5724.03333064086,5,Nordrhein-Westfalen
5916,2017,130978,3043.36833916764,Herne,376.067083811187,5711.18518339316,5,Nordrhein-Westfalen
5954,2017,292168,792.573967385997,Ennepe-Ruhr-Kreis,379.051584397436,5689.77852434365,5,Nordrhein-Westfalen
5958,2017,239366,133.453220894106,Hochsauerlandkreis,448.659214315364,5685.61381423565,5,Nordrhein-Westfalen
5962,2017,360425,389.594367896255,Märkischer Kreis,411.187827225621,5681.0695800466,5,Nordrhein-Westfalen
5966,2017,122572,189.299856769736,Olpe,431.577504871167,5659.93327229481,5,Nordrhein-Westfalen
5970,2017,249412,245.369806424278,Siegen-Wittgenstein,440.203556186654,5641.00521271604,5,Nordrhein-Westfalen
5974,2017,273872,227.070742042555,Soest,441.572893517506,5712.11343815846,5,Nordrhein-Westfalen
5978,2017,356615,725.196517000792,Unna,411.252765726322,5713.14898562881,5,Nordrhein-Westfalen
6411,2017,127689,1296.42008683542,Darmstadt,475.798844200372,5524.78145546807,6,Hessen
6412,2017,530285,3007.84503241915,Frankfurt am Main,475.612171031063,5552.17034125922,6,Hessen
6413,2017,82334,2822.14795008913,Offenbach am Main,484.49837382166,5548.84199059157,6,Hessen
6414,2017,226137,1366.8219944082,Wiesbaden,446.69207167991,5546.96285208335,6,Hessen
6431,2017,234113,373.580552351036,Bergstraße,465.898318430694,5496.76418393489,6,Hessen
6432,2017,254631,449.483784768614,Darmstadt-Dieburg,491.217244855576,5523.33867500297,6,Hessen
6433,2017,213108,599.083945875549,Groß-Gerau,460.546711784729,5527.6481785787,6,Hessen
6434,2017,198738,489.778764735182,Hochtaunuskreis,464.661986977492,5570.43400924721,6,Hessen
6435,2017,355139,299.292932184467,Main-Kinzig-Kreis,528.819687370691,5568.10135881532,6,Hessen
6436,2017,199407,1064.88563339774,Main-Taunus-Kreis,458.947128421554,5549.88406997592,6,Hessen
6437,2017,83804,154.810327419588,Odenwaldkreis,497.644920151331,5501.15486961795,6,Hessen
6438,2017,286129,987.233325847743,Offenbach,486.959361757983,5543.13936126367,6,Hessen
6439,2017,164522,229.972516976621,Rheingau-Taunus-Kreis,433.664215873598,5553.92195063388,6,Hessen
6440,2017,267666,277.389929678556,Wetteraukreis,495.320480791287,5575.43520354642,6,Hessen
6531,2017,235964,312.507021157087,Gießen,490.660001795282,5601.259313727,6,Hessen
6532,2017,227372,238.36068648598,Lahn-Dill-Kreis,452.394985813698,5609.9066970519,6,Hessen
6533,2017,152702,232.884188288825,Limburg-Weilburg,443.941490341508,5586.95363741208,6,Hessen
6534,2017,218910,195.002257658214,Marburg-Biedenkopf,483.947700839727,5631.45324240041,6,Hessen
6535,2017,99111,72.9661185405543,Vogelsbergkreis,518.053327874199,5606.60761811948,6,Hessen
6611,2017,165703,1879.55056179775,Kassel,531.666726416189,5684.13652736152,6,Hessen
6631,2017,203035,160.664585159482,Fulda,554.104412935004,5603.68041788607,6,Hessen
6632,2017,110249,110.317467547256,Hersfeld-Rotenburg,554.021275710424,5639.13003417971,6,Hessen
6633,2017,220332,182.993002667491,Kassel Kreis,527.633949707762,5695.94211450324,6,Hessen
6634,2017,168111,117.44822970611,Schwalm-Eder-Kreis,523.060603291729,5651.66398466033,6,Hessen
6635,2017,144581,85.0630172553686,Waldeck-Frankenberg,495.327248322435,5674.98515686951,6,Hessen
6636,2017,94008,98.6514836607047,Werra-Meißner-Kreis,563.701709595822,5673.23922855426,6,Hessen
7111,2017,99369,1081.65320665083,Koblenz,399.309876414827,5578.16440378667,7,Rheinland-Pfalz
7131,2017,117126,163.800157556352,Ahrweiler,366.646564712359,5593.59526069437,7,Rheinland-Pfalz
7132,2017,119527,200.490363959027,Altenkirchen (Westerwald),415.010699950044,5623.23157619139,7,Rheinland-Pfalz
7133,2017,142042,182.371598235887,Bad Kreuznach,404.682571209036,5519.32064697368,7,Rheinland-Pfalz
7134,2017,74489,103.919776527683,Birkenfeld,376.493536638561,5509.3765054824,7,Rheinland-Pfalz
7135,2017,57357,89.0516008838439,Cochem-Zell,366.989398344624,5553.62749369915,7,Rheinland-Pfalz
7137,2017,197428,261.154659851051,Mayen-Koblenz,376.11654800325,5575.31919643398,7,Rheinland-Pfalz
7138,2017,165119,289.693171307371,Neuwied,386.78952998621,5602.62986841545,7,Rheinland-Pfalz
7140,2017,95345,103.866567109963,Rhein-Hunsrück-Kreis,393.544198536249,5545.61806782173,7,Rheinland-Pfalz
7141,2017,112203,156.449427285744,Rhein-Lahn-Kreis,415.452672350237,5566.00910209847,7,Rheinland-Pfalz
7143,2017,183976,203.266804173744,Westerwaldkreis,419.612081528366,5599.77611794876,7,Rheinland-Pfalz
7211,2017,95586,939.800102511533,Trier,331.80193319407,5516.61988609322,7,Rheinland-Pfalz
7231,2017,101618,96.0100690103944,Bernkastel-Wittlich,354.173249648804,5529.87184544932,7,Rheinland-Pfalz
7232,2017,86298,60.366329635207,Eifelkreis Bitburg-Prüm,314.267766064381,5549.41895206872,7,Rheinland-Pfalz
7233,2017,56379,66.588785046729,Vulkaneifel,343.221626208752,5567.00749334775,7,Rheinland-Pfalz
7235,2017,133573,134.754681376107,Trier-Saarburg,343.891214407924,5509.86208126718,7,Rheinland-Pfalz
7311,2017,40529,1103.39562443026,Frankenthal (Pfalz),452.810430633787,5486.98531292587,7,Rheinland-Pfalz
7312,2017,84205,713.557623478883,Kaiserslautern,410.429520618493,5475.68175987177,7,Rheinland-Pfalz
7313,2017,41712,558.138413310827,Landau in der Pfalz,434.463719518091,5449.4800904968,7,Rheinland-Pfalz
7314,2017,126407,2176.1203667829,Ludwigshafen am Rhein,455.650769219231,5481.9046322453,7,Rheinland-Pfalz
7315,2017,176567,2201.06415634913,Mainz,446.712517333415,5535.07568794365,7,Rheinland-Pfalz
7316,2017,47683,455.658040823298,Neustadt an der Weinstraße,435.7003619525,5466.51384319194,7,Rheinland-Pfalz
7317,2017,36101,662.190352020861,Pirmasens,397.466238555135,5449.32388126012,7,Rheinland-Pfalz
7318,2017,43358,1192.4841957387,Speyer,458.515167767169,5464.32428031344,7,Rheinland-Pfalz
7319,2017,69389,764.103743217143,Worms,450.991245916705,5501.25828143623,7,Rheinland-Pfalz
7320,2017,30932,485.135900339751,Zweibrücken,381.41264877336,5456.92588993916,7,Rheinland-Pfalz
7331,2017,116886,218.54371078273,Alzey-Worms,442.375848351332,5510.4822122491,7,Rheinland-Pfalz
7332,2017,121785,223.225817301224,Bad Dürkheim,435.797777769759,5479.95272592674,7,Rheinland-Pfalz
7333,2017,69559,116.36324197022,Donnersbergkreis,423.151037455111,5497.80204551938,7,Rheinland-Pfalz
7334,2017,113166,277.296468963136,Germersheim,449.998825910706,5442.3921914874,7,Rheinland-Pfalz
7335,2017,97186,165.0765625,Kaiserslautern Kreis,397.040578244225,5478.43408320658,7,Rheinland-Pfalz
7336,2017,66513,123.366050103729,Kusel,388.64267151021,5488.46555318471,7,Rheinland-Pfalz
