district,municipality,age_group,pop
1054,1054003,above65,92
1054,1054004,above65,50
1054,1054005,above65,98
1054,1054006,above65,96
1054,1054007,above65,82
1054,1054009,above65,125
1054,1054010,above65,136
1054,1054011,above65,100
1054,1054012,above65,154
1054,1054013,above65,30
1054,1054014,above65,427
1054,1054015,above65,65
1054,1054016,above65,36
1054,1054017,above65,144
1054,1054018,above65,44
1054,1054019,above65,1433
1054,1054020,above65,523
1054,1054022,above65,278
1054,1054023,above65,168
1054,1054024,above65,213
1054,1054025,above65,23
1054,1054026,above65,3
1054,1054027,above65,18
1054,1054032,above65,34
1054,1054033,above65,803
1054,1054034,above65,29
1054,1054035,above65,2
1054,1054036,above65,757
1054,1054037,above65,62
1054,1054038,above65,78
1054,1054039,above65,1
1054,1054040,above65,10
1054,1054041,above65,138
1054,1054042,above65,559
1054,1054043,above65,51
1054,1054045,above65,91
1054,1054046,above65,199
1054,1054048,above65,19
1054,1054050,above65,26
1054,1054052,above65,133
1054,1054054,above65,40
1054,1054055,above65,181
1054,1054056,above65,5926
1054,1054057,above65,115
1054,1054059,above65,136
1054,1054061,above65,145
1054,1054062,above65,49
1054,1054063,above65,56
1054,1054065,above65,242
1054,1054068,above65,211
1054,1054070,above65,189
1054,1054071,above65,8
1054,1054072,above65,42
1054,1054073,above65,300
1054,1054074,above65,39
1054,1054075,above65,667
1054,1054076,above65,1885
1054,1054077,above65,10
1054,1054078,above65,307
1054,1054079,above65,110
1054,1054080,above65,63
1054,1054083,above65,82
1054,1054084,above65,899
1054,1054085,above65,231
1054,1054086,above65,244
1054,1054087,above65,199
1054,1054088,above65,2228
1054,1054089,above65,123
1054,1054090,above65,9
1054,1054091,above65,746
1054,1054092,above65,61
1054,1054093,above65,105
1054,1054094,above65,87
1054,1054095,above65,299
1054,1054096,above65,113
1054,1054097,above65,74
1054,1054098,above65,133
1054,1054099,above65,377
1054,1054100,above65,70
1054,1054101,above65,141
1054,1054103,above65,354
1054,1054104,above65,60
1054,1054105,above65,105
1054,1054106,above65,294
1054,1054108,above65,65
1054,1054109,above65,759
1054,1054110,above65,81
1054,1054113,above65,1286
1054,1054116,above65,358
1054,1054118,above65,199
1054,1054119,above65,129
1054,1054120,above65,203
1054,1054121,above65,36
1054,1054123,above65,45
1054,1054124,above65,31
1054,1054125,above65,175
1054,1054126,above65,166
1054,1054128,above65,226
1054,1054129,above65,30
1054,1054130,above65,8
1054,1054131,above65,584
1054,1054132,above65,27
1054,1054134,above65,251
1054,1054135,above65,218
1054,1054136,above65,43
1054,1054138,above65,1305
1054,1054140,above65,20
1054,1054141,above65,69
1054,1054142,above65,72
1054,1054143,above65,106
1054,1054144,above65,421
1054,1054145,above65,49
1054,1054146,above65,29
1054,1054148,above65,44
1054,1054149,above65,392
1054,1054150,above65,29
1054,1054152,above65,186
1054,1054154,above65,62
1054,1054156,above65,140
1054,1054157,above65,25
1054,1054158,above65,23
1054,1054159,above65,181
1054,1054160,above65,152
1054,1054161,above65,228
1054,1054162,above65,125
1054,1054163,above65,135
1054,1054164,above65,1205
1054,1054165,above65,124
1054,1054166,above65,191
1054,1054167,above65,226
1054,1054168,above65,3656
1055,1055001,above65,1651
1055,1055002,above65,225
1055,1055004,above65,6039
1055,1055006,above65,95
1055,1055007,above65,756
1055,1055010,above65,512
1055,1055011,above65,148
1055,1055012,above65,4609
1055,1055014,above65,215
1055,1055015,above65,287
1055,1055016,above65,2481
1055,1055017,above65,824
1055,1055018,above65,274
1055,1055020,above65,137
1055,1055021,above65,3028
1055,1055022,above65,305
1055,1055023,above65,93
1055,1055024,above65,304
1055,1055025,above65,478
1055,1055027,above65,1164
1055,1055028,above65,3112
1055,1055029,above65,77
1055,1055031,above65,326
1055,1055032,above65,4386
1055,1055033,above65,2598
1055,1055035,above65,3633
1055,1055036,above65,197
1055,1055037,above65,449
1055,1055038,above65,613
1055,1055039,above65,582
1055,1055040,above65,4015
1055,1055041,above65,973
1055,1055042,above65,2875
1055,1055043,above65,506
1055,1055044,above65,3329
1055,1055046,above65,3491
1056,1056001,above65,1034
1056,1056002,above65,2347
