district,municipality,centroid_x,centroid_y
1053,1053084,615056.824323986,5938902.32075315
1053,1053085,597334.03116473,5945113.09220276
1053,1053086,600748.795117092,5950112.63660782
1053,1053087,603103.155661489,5921462.52913793
1053,1053088,619140.456079327,5953428.49828794
1053,1053089,596901.025174368,5935620.71572462
1053,1053090,612468.497756207,5942409.36787174
1053,1053091,598725.123137905,5939485.3113803
1053,1053092,602461.358916411,5928603.75914281
1053,1053093,624311.989748831,5950173.30890546
1053,1053094,607084.466017902,5951848.89154409
1053,1053095,606026.902869714,5938701.56941581
1053,1053096,604814.398060233,5946892.8464195
1053,1053097,607333.050596891,5945509.86314666
1053,1053098,613223.446128463,5956054.136788
1053,1053099,604027.855931506,5944382.25968394
1053,1053100,616262.205933511,5953011.60679206
1053,1053101,602850.488862302,5947655.18696221
1053,1053102,616991.989111462,5954971.93531086
1053,1053103,606732.584637272,5957296.33078292
1053,1053104,607028.204211472,5933089.19697103
1053,1053105,591031.950839828,5932220.0403267
1053,1053106,601833.606356798,5931485.28642036
1053,1053107,623060.533309999,5946506.04905088
1053,1053108,598683.78032159,5950180.29390145
1053,1053109,596343.157932419,5951684.91571533
1053,1053110,616827.539984541,5947182.40851842
1053,1053111,598711.458563745,5916844.41843186
1053,1053112,594629.70346428,5948508.98191409
1053,1053113,602061.869543415,5938899.13520401
1053,1053114,597294.61465251,5957686.08774531
1053,1053115,602907.471738909,5926242.91550513
1053,1053116,598045.727622413,5929080.26270077
1053,1053117,624540.329383583,5941622.40123734
1053,1053118,600571.064402483,5956674.07577034
1053,1053119,607036.370117575,5930361.62662017
1053,1053120,605399.596836353,5954863.85192965
1053,1053121,599423.315970495,5947169.01027913
1053,1053122,598222.348042481,5954306.89560493
1053,1053123,620019.455792431,5943636.39040307
1053,1053124,594477.628884627,5954885.90588272
1053,1053125,604069.901741378,5936992.55727446
1053,1053126,606551.411321249,5936095.31772157
1053,1053127,603973.793722455,5943419.35014915
1053,1053128,602486.551871284,5923797.57630317
1053,1053129,583393.086126965,5928086.53971705
1053,1053130,597146.146646593,5948293.09753203
1053,1053131,596174.638846241,5922286.9071513
1053,1053132,606290.927253789,5924367.06088526
1053,1053133,585465.171066353,5930116.11348723
1053,1053134,609311.768786901,5937419.29762683
1053,1053135,593552.360949172,5925496.30138862
1053,1053136,621129.938812749,5950913.04456141
1054,1054001,503281.351910779,6071932.00951909
1054,1054002,505020.453845628,6046044.89976966
1054,1054003,513922.15413776,6042615.40157968
1054,1054004,517627.878832999,6042829.62567553
1054,1054005,467755.747525898,6063246.61861695
1054,1054006,500839.474294775,6047988.15906742
1054,1054007,504835.795771191,6044050.16605068
1054,1054009,487325.398617282,6082626.80044901
1054,1054010,497762.666942394,6062105.70964507
1054,1054011,514817.743741732,6046200.01132362
1054,1054012,504035.094400949,6048254.01363082
1054,1054013,518177.015831941,6045430.2701405
1054,1054014,496759.092532626,6055764.0245776
1054,1054015,465201.672323841,6062396.32651706
1054,1054016,489986.456144153,6074829.58289053
1054,1054017,493699.062127683,6076813.56835163
1054,1054018,505700.012734855,6077989.34775187
1054,1054019,497925.555572172,6052908.17110338
1054,1054020,499495.123215788,6051078.7592994
1054,1054022,485722.990728385,6062904.26025212
1054,1054023,509364.416461628,6022626.17516856
1054,1054024,504455.79178008,6051226.23091287
1054,1054025,462749.610263654,6065453.65977257
1054,1054026,492275.441674152,6040336.20779953
1054,1054027,496002.819687237,6083021.21864179
1054,1054032,515964.763785593,6027201.40725665
1054,1054033,505995.268152999,6025474.30157211
1054,1054034,476104.356780309,6078838.9204053
1054,1054035,485459.613292742,6019839.42630631
1054,1054036,485743.817913086,6020431.63693774
1054,1054037,509625.922662011,6059371.14016278
1054,1054038,506253.871011678,6059045.24308875
1054,1054039,482334.818474538,6054233.63412422
1054,1054040,483926.368941865,6016765.29665708
1054,1054041,511747.563873747,6050126.03508216
1054,1054042,501849.788361233,6041627.08652066
1054,1054043,498208.047395057,6044349.25513429
1054,1054045,504191.853872991,6055772.64033785
1054,1054046,454254.730276567,6069203.14258924
1054,1054048,489347.072110328,6076146.65561877
1054,1054050,470616.10169412,6046816.49257892
1054,1054052,504697.275014705,6041118.41517471
1054,1054054,514346.127945801,6026956.21641732
1054,1054055,490511.640259753,6079885.69708341
1054,1054056,503166.90329417,6037861.88758144
1054,1054057,510835.780542785,6043373.38698443
1054,1054059,508741.19606463,6055709.70232421
1054,1054061,458200.740005169,6090975.88136797
1054,1054062,499157.05813397,6074754.55526001
1054,1054063,489151.83928533,6020735.50476219
1054,1054065,478399.466154085,6079884.17042642
1054,1054068,493208.557548514,6072623.52163532
1054,1054070,504816.024600563,6027213.49272277
1054,1054071,507968.92951328,6053170.56087563
1054,1054072,493285.129468961,6020727.85977199
1054,1054073,502632.718080519,6077207.17730639
1054,1054074,474673.544555338,6054991.69957094
1054,1054075,494489.064906759,6059785.38507833
1054,1054076,497757.013616651,6068824.78400628
1054,1054077,496518.348350989,6076325.28619936
1054,1054078,461702.825193537,6097565.36228335
1054,1054079,511780.666043572,6053770.88966268
1054,1054080,502946.34841149,6059390.60783288
1054,1054083,469225.489342846,6065243.90043334
1054,1054084,507274.082396978,6035721.00766813
1054,1054085,457370.810213759,6056131.53759001
1054,1054086,484100.26156619,6079439.29108153
1054,1054087,467115.289446414,6060491.05654116
1054,1054088,487394.586836058,6072933.60742351
1054,1054089,456528.19501671,6059569.00324294
1054,1054090,493336.872068246,6028447.10408293
1054,1054091,492273.802606556,6039121.56009317
1054,1054092,508187.073312826,6049721.04605752
1054,1054093,488094.976011618,6058342.70138027
1054,1054094,471212.067620394,6065147.96075348
1054,1054095,496029.33670887,6024095.52391205
1054,1054096,510999.232871556,6032736.40430228
1054,1054097,507297.870513274,6042958.26091669
1054,1054098,465386.224012295,6065407.96503124
1054,1054099,517135.775005924,6033936.72039733
1054,1054100,484377.174734153,6026908.57909359
1054,1054101,516181.991221814,6040541.30293229
1054,1054103,477313.328214414,6041457.41153593
1054,1054104,483673.999330608,6023959.81471393
